genre,n_tracks_collected,n_popularity_valid,n_popularity_zero,share_zero,mean_pop_all,median_pop,trimmed_mean_5,mean_pop_nonzero,share_nonzero,p10,p25,p75,p90,iqr
Melodic Power Metal,5,5,5,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Melodic Progressive Metal,20,20,20,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Metal Guitar,719,719,719,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Metalcore,398,398,398,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Necrogrind,77,77,77,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Neo Classical Metal,120,120,120,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Neo Metal,285,285,285,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Neo-trad Metal,79,79,79,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Neue Deutsche Harte,186,186,186,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Norwegian Metal,59,59,59,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Nu Metal,570,570,570,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Nwobhm,121,121,121,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Nwothm,37,37,37,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Pagan Black Metal,56,56,56,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Post-metal,498,498,498,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Power Metal,712,712,712,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Progressive Metal,438,438,438,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Rap Metal,145,145,145,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Rap Metalcore,32,32,32,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Raw Black Metal,29,29,29,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Retro Metal,17,17,17,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Slam Death Metal,291,291,291,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Sludge Metal,84,84,84,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Speed Metal,44,44,44,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Stoner Metal,52,52,52,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Stoner Rock,378,378,378,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Swedish Metal,158,158,158,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Symphonic Black Metal,74,74,74,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Symphonic Metal,309,309,309,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Technical Brutal Death Metal,41,41,41,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Technical Death Metal,136,136,136,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Thrash Metal,402,402,402,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Thrash-groove Metal,10,10,10,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Unblack Metal,128,128,128,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Viking Metal,64,64,64,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Avantgarde Metal,0,0,0,,,,,,,,,,,
Death Core,0,0,0,,,,,,,,,,,
Deep Thrash Metal,0,0,0,,,,,,,,,,,
