feature,n,k_genres,F,p_value,eta_squared
danceability,2673,21,61.02790554262251,1.058102233142137e-200,0.3151813545242769
instrumentalness,2673,21,53.11943833425441,4.577727038100064e-177,0.28601980929239634
energy,2673,21,43.853360058186894,3.860010203923027e-148,0.24852663640820383
valence,2672,21,42.06381521314587,2.1945496325335433e-142,0.24089626105357026
loudness,2673,21,31.302504063253572,1.1261953540471358e-106,0.1909824638870267
speechiness,2673,21,26.056251026236907,1.579789894802618e-88,0.16423085039320637
acousticness,2673,21,13.942089216604725,6.583411892135375e-45,0.09514051076477313
liveness,2673,21,2.8439451691068927,2.470768833398932e-05,0.020997211544274787
tempo,2673,21,2.4113330982784698,0.0004315901031042076,0.01786022730790454
